sigla_fiscal,pontos,ano_mes,notif_total,num_RMO,aux_viagens_totais,classe_1,classe_2,classe_3,classe_4,classe_5,classe_6
AAR,798,2023/01,117,174,18,15,44,1,26,14,74
ADO,552,2023/01,112,138,67,3,9,19,31,26,50
AEP,499.5,2023/01,79,228,205,22,111,58,24,8,4
ALG,324,2023/01,40,59,33,2,0,3,13,8,33
AMS,197.5,2023/01,26,54,52,0,0,24,0,19,11
AMV,879,2023/01,120,202,154,0,1,51,41,52,57
APB,597,2023/01,139,211,210,0,56,92,3,12,48
ARQ,552,2023/01,97,90,2,9,1,0,5,3,72
BBV,317.5,2023/01,48,113,40,6,0,58,5,42,2
CAC,601,2023/01,123,193,0,17,93,7,47,29,0
CHG,15,2023/01,0,15,0,15,0,0,0,0,0
CPL,560.5,2023/01,149,307,277,12,87,163,18,27,0
CRC,387.5,2023/01,170,219,189,15,32,167,2,3,0
DNR,414,2023/01,165,173,0,10,156,0,2,3,2
ECO,387,2023/01,25,114,113,0,0,54,25,28,7
ELR,105,2023/01,13,25,1,0,0,0,12,12,1
ENL,369.5,2023/01,128,187,0,36,121,16,7,7,0
FNG,328.7,2023/01,52,68,34,8,1,2,10,6,41
FSG,699,2023/01,155,132,66,11,1,3,0,56,61
HFP,547.5,2023/01,86,170,0,6,0,57,24,70,13
HSS,612,2023/01,168,386,386,3,177,161,13,31,1
JAL,33.5,2023/01,14,13,0,0,0,13,0,0,0
JGA,174.5,2023/01,22,52,0,6,0,0,26,11,9
JLM,536.5,2023/01,124,159,3,31,59,8,19,29,13
JTA,65.5,2023/01,6,25,15,4,0,3,2,12,4
KPC,586.5,2023/01,140,192,188,13,7,59,13,98,2
LAF,445,2023/01,44,135,103,20,12,38,23,22,20
LJS,710,2023/01,86,124,53,1,0,0,37,18,68
LLS,357.5,2023/01,100,217,204,3,94,81,27,5,7
LMV,458,2023/01,136,160,64,0,15,81,3,43,18
LRR,342,2023/01,65,84,55,8,0,14,21,41,0
MCG,413,2023/01,86,107,45,0,0,20,11,37,39
MEM,345.5,2023/01,63,107,5,0,58,0,44,5,0
MLS,56,2023/01,5,22,0,9,4,1,0,8,0
MPS,726.5,2023/01,396,177,3,1,1,7,154,13,1
MRS,388.5,2023/01,92,175,134,19,52,58,13,31,2
MZA,635.5,2023/01,89,171,112,13,0,57,13,49,39
NDB,369.5,2023/01,112,162,126,13,33,86,5,15,10
RNN,555,2023/01,171,286,0,105,170,4,6,1,0
RRC,826.5,2023/01,158,310,249,9,96,100,4,44,57
TOS,387,2023/01,70,123,24,1,45,24,27,26,0
TSF,424,2023/01,101,68,0,9,0,3,6,8,42
VBS,12,2023/01,0,4,0,2,0,0,2,0,0
WRM,338,2023/01,106,184,180,3,61,91,14,8,7
AAR,557.5,2023/02,62,118,34,2,0,2,8,48,58
ADO,717.5,2023/02,157,230,44,2,13,57,47,108,3
AEP,377.5,2023/02,102,159,147,8,36,94,1,16,4
AFL,4,2023/02,0,1,1,0,0,0,0,1,0
ALG,278,2023/02,34,53,22,3,0,0,9,5,36
AMS,424.5,2023/02,98,177,89,17,67,36,3,51,3
AMV,599,2023/02,145,297,184,1,97,123,10,65,1
APB,516,2023/02,119,167,93,17,17,35,17,81,0
ARQ,1617,2023/02,225,273,256,4,0,0,2,55,212
BBV,215.5,2023/02,31,73,0,23,5,13,3,11,18
CAC,564.5,2023/02,56,135,35,0,0,12,78,45,0
CHG,338.5,2023/02,30,106,0,3,0,36,39,28,0
CPL,529,2023/02,67,123,49,1,0,34,17,28,43
CRC,430.5,2023/02,197,236,144,0,36,194,2,4,0
DNR,419,2023/02,172,174,0,2,172,0,0,0,0
ECO,454.5,2023/02,49,112,111,0,0,37,35,23,17
ELR,224,2023/02,6,56,41,0,1,2,47,5,1
ENL,553.5,2023/02,81,110,87,15,0,7,10,22,56
FNG,286,2023/02,35,63,41,6,0,7,22,9,19
FSG,676.5,2023/02,152,117,51,0,4,6,3,42,62
HFP,897,2023/02,114,239,168,1,0,68,13,92,65
HSS,384.5,2023/02,70,137,137,19,0,41,17,58,2
IFM,49,2023/02,1,15,14,0,0,6,4,5,0
JAL,30,2023/02,12,12,0,0,0,12,0,0,0
JGA,331,2023/02,89,89,0,1,0,0,38,49,1
JLM,1305,2023/02,194,212,198,4,2,11,13,18,164
JTA,16,2023/02,0,8,0,5,0,0,3,0,0
KPC,541.5,2023/02,110,162,161,6,0,40,27,88,1
LAF,348,2023/02,40,92,89,5,0,19,30,34,4
LJS,850.5,2023/02,128,146,37,0,0,0,13,42,91
LLS,1182,2023/02,160,193,174,7,0,1,9,22,154
LMV,635.5,2023/02,204,253,223,0,8,182,20,37,6
LRR,774,2023/02,223,278,60,30,167,21,15,43,2
MCG,551,2023/02,92,128,40,7,0,19,12,46,44
MEM,309,2023/02,21,76,53,0,5,0,48,21,2
MLS,405,2023/02,73,159,71,28,52,35,18,26,0
MPS,510.5,2023/02,241,144,0,0,2,10,121,10,1
MRS,543,2023/02,157,237,22,37,106,42,4,48,0
MZA,523.5,2023/02,109,173,136,7,0,58,48,52,8
NDB,1266,2023/02,170,203,181,4,0,0,6,28,165
RNN,620.5,2023/02,91,132,123,6,0,16,19,43,48
RRC,672.5,2023/02,166,317,258,7,66,155,10,79,0
TOS,631.5,2023/02,113,165,107,0,24,37,15,89,0
TSF,765,2023/02,186,121,0,8,0,7,10,22,74
